function_name,call_count,total_time_seconds,avg_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,std_dev_seconds
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_regex_core.py:_parse_pattern:459,2,0.807843254,0.403921627,0.403921627,0.000259259,0.807583995,0.570864795
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_regex_core.py:parse_paren:940,1,0.807308445,0.807308445,0.807308445,0.807308445,0.807308445,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_regex_core.py:_parse_pattern:460,1,0.807090215,0.807090215,0.807090215,0.807090215,0.807090215,0.000000000
/home/jiajli/apps/IRON/iron/operators/swiglu_decode/op.py:set_up_runtime:195,16,0.805588513,0.050349282,0.050276485,0.048775717,0.053885456,0.001124646
/usr/lib/python3.12/pathlib.py:parents:746,10115,0.799602294,0.000079051,0.000057659,0.000054142,0.000492028,0.000028186
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/dialects/aiex.py:shim_dma_bd:225,2195,0.781343273,0.000355965,0.000348697,0.000335582,0.001026675,0.000032209
/usr/lib/python3.12/logging/__init__.py:_log:1684,1176,0.743879120,0.000632550,0.000583495,0.000267184,0.014707586,0.000445013
/home/jiajli/apps/IRON/iron/operators/gemv/op.py:get_artifacts:99,177,0.727182844,0.004108378,0.004063357,0.003753153,0.009253408,0.000412364
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tap.py:__init__:42,1452,0.708744157,0.000488116,0.000478111,0.000460047,0.001390481,0.000051012
<frozen posixpath>:join:92,29172,0.708538271,0.000024288,0.000022022,0.000019798,0.009979155,0.000059180
/home/jiajli/apps/IRON/iron/operators/gemm/op.py:forward:326,65,0.685234605,0.010542071,0.007767007,0.002406214,0.270127419,0.032798502
/usr/lib/python3.12/pathlib.py:__str__:441,106112,0.683491707,0.000006441,0.000006242,0.000005691,0.000087996,0.000001146
/home/jiajli/apps/IRON/iron/operators/mha/op.py:forward:239,16,0.683274467,0.042704654,0.042638046,0.041648746,0.044113060,0.000822938
/home/jiajli/apps/IRON/iron/operators/mha/op.py:_execute_aie_operation:281,16,0.682712838,0.042669552,0.042601662,0.041626975,0.044020456,0.000808906
/usr/lib/python3.12/pathlib.py:__init__:271,10115,0.668292888,0.000066069,0.000044654,0.000041738,0.000461600,0.000027780
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tensortiler2d.py:sizes_or_strides_fn:244,930,0.654879382,0.000704171,0.000694890,0.000669111,0.001828456,0.000069570
